Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
UAD01.FE - Dentist update appointment result successfully,N3NJS1804-209,10360,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 9:46 AM,17/Jul/24 9:51 AM,20/Jul/24 9:39 AM,17/Jul/24 9:51 AM,,0,APPOINTMENT,RESULT,,"UAD01.FE - Dentist update appointment result successfully

*Account information*

Dentist: [baohmqse183451@fpt.edu.vn|mailto:baohmqse183451@fpt.edu.vn]

Patient: swt@gmail.com",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-112,17/Jul/24 9:47 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UAD01.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10297,17/Jul/24 9:47 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UAD01.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10295,17/Jul/24 9:47 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UAD01.3.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10299,17/Jul/24 9:47 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UAD01.4.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10296,17/Jul/24 9:47 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UAD01.5.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10300,17/Jul/24 9:47 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;UAD01.6.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10298,,,,"1. Patient views the result/note as Read Only
2. Dentist edits the result/note",,,,,,{},,N3NJS1804-107,Appointment Management,,,"1. Patient should be able to view the result/note as Read Only
2. Dentist should be able to edit the result/note",,,,,0|i00233:,,,,,N3NJS180 Sprint 3,,,,,,,,Integration,"- As Dentist:
1. Login as dentist
2. Choose appointment to edit the result/note (see attachments below)
3. Click submit button
- As Patient:
1. Login as Patient
2. Choose the same appointment to view the note (see attachments below)
3. View the result/note",Pass,,,,3_*:*_1_*:*_327871_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_7330,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 9:51 AM
RD06.FE - Dentist - Assigned dentist cannot rescheduled,N3NJS1804-208,10359,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 8:56 AM,17/Jul/24 8:58 AM,20/Jul/24 9:39 AM,17/Jul/24 8:58 AM,,0,RESCHEDULE,,,"RD06.FE - Dentist - Assigned dentist cannot rescheduled

The account have been assigned appointment in RD04.FE → baohmqse183451@fpt.edu.vn",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-113,17/Jul/24 8:57 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD06.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10294,17/Jul/24 8:57 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD06.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10293,,,,,,,,"The screen displays error page and An error message ""This appointment has been rescheduled already"" is displayed",,,,,,{},,N3NJS1804-107,Appointment Management,,,"The screen should display error page and An error message ""This appointment has been rescheduled already"" should be displayed",,,,,0|i0022v:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Dentist
2. Chose the General Checkup treatment (rescheduled in testcase RD04.FE)",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_127358,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 8:58 AM
RD05.FE - Dentist - Dentist can only reschedule one time,N3NJS1804-207,10358,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 8:51 AM,17/Jul/24 8:58 AM,20/Jul/24 9:39 AM,17/Jul/24 8:56 AM,,0,RESCHEDULE,,,RD05.FE - Dentist - Dentist can only reschedule one time,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-113,17/Jul/24 8:55 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD05.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10291,17/Jul/24 8:55 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD05.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10292,,,,,,,,"The screen displays error page and An error message ""This appointment has been rescheduled already"" is displayed",,,,,,{},,N3NJS1804-107,Appointment Management,,,"The screen should display error page and An error message ""This appointment has been rescheduled already"" should be displayed",,,,,0|i0022n:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Dentist
2. Chose the General Checkup treatment (rescheduled in testcase RD04.FE)",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_300502,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 8:56 AM
RD03.FE - Dentist - Display error when no available dentists,N3NJS1804-206,10357,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 8:41 AM,17/Jul/24 8:55 AM,20/Jul/24 9:39 AM,17/Jul/24 8:51 AM,,0,RESCHEDULE,,,RD03.FE - Dentist - Display error when no available dentists,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-113,17/Jul/24 8:51 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD03.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10290,17/Jul/24 8:51 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD03.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10289,,,,,,,,"The screen displays no dentists and An error message ""There is no available dentist for this appointment."" is displayed",,,,,,{},,N3NJS1804-107,Appointment Management,,,"The screen should display no dentists and an error message ""There is no available dentist for this appointment."" should be displayed",,,,,0|i0022f:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Dentist
2. Chose the Root Canal Treatment on Calendar (see attachment below), press Edit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_597101,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 8:51 AM
RD04.FE - Dentist - Reschedule success,N3NJS1804-205,10356,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 8:38 AM,17/Jul/24 8:50 AM,20/Jul/24 9:39 AM,17/Jul/24 8:41 AM,,0,RESCHEDULE,,,"RD04.FE - Dentist - Reschedule success

The main account using in this testcase is [xinefpt@gmail.com|mailto:xinefpt@gmail.com], the assigned account is [baohmqse183451@fpt.edu.vn|mailto:baohmqse183451@fpt.edu.vn]. The patient of the appointment is baoha3604@gmail.com.",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-113,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10282,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10280,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.3.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10284,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.4.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10281,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.5.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10285,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.6.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10283,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.7.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10286,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.8.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10288,17/Jul/24 8:43 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD04.9.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10287,"1. Both dentist and assigned dentist receive the email notification about the appointment
2. Assigned dentist sees assigned appointment on their Calendar",,,,,,{},,N3NJS1804-107,Appointment Management,,,"1. Both dentist and assigned dentist should receive the email notification about the appointment
2. Assigned dentist should see assigned appointment on their Calendar",,,,,0|i00227:,,,,,N3NJS180 Sprint 3,,,,,,,,Integration,"- On Dentist:
1. Login as Dentist
2. Chose the General Checkup appointment (see attachments below)
3. Chose Dr Bao Ha as assigned dentist
4. Submit the request
- On Patient:
1. After dentist submitting request, patient should login before and receive a request email from dentist
2. Click confirm",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_208086,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 8:41 AM
RD02.FE - Dentist - Appointment should be rescheduled 2 hours before the actual start time,N3NJS1804-204,10355,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 8:35 AM,17/Jul/24 8:39 AM,20/Jul/24 9:39 AM,17/Jul/24 8:38 AM,,0,RESCHEDULE,,,RD02.FE - Dentist - Appointment should be rescheduled 2 hours before the actual start time,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-113,17/Jul/24 8:35 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD02.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10275,17/Jul/24 8:35 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD02.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10277,17/Jul/24 8:35 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD02.3.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10276,,,,,,,"An error message ""You must reschedule an appointment before 2 hours of actual time"" is displayed",,,,,,{},,N3NJS1804-107,Appointment Management,,,"An error message ""You must reschedule an appointment before 2 hours of actual time"" should be displayed",,,,,0|i0021z:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Dentist
2. Chose an appointment within 2 hour before the actual datetime (the red line on the current day) on Calendar, press Edit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_194726,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 8:38 AM
RD01.FE - Dentist - Past appointment cannot be rescheduled,N3NJS1804-203,10354,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 8:31 AM,17/Jul/24 8:37 AM,20/Jul/24 9:39 AM,17/Jul/24 8:35 AM,,0,RESCHEDULE,,,RD01.FE - Dentist - Past appointment cannot be rescheduled,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-113,17/Jul/24 8:33 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;RD01.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10274,,,,,,,,,"An error message ""You can't reschedule past appointments"" is displayed",,,,,,{},,N3NJS1804-107,Appointment Management,,,"An error message ""You can't reschedule past appointments"" should be displayed",,,,,0|i0021r:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Dentist
2. Chose a past appointment on Calendar, click Edit icon",Pass,,,,3_*:*_1_*:*_219414_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_11048,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 8:35 AM
BA12.FE - Patient - Payment should be skipped if the treatment is free,N3NJS1804-202,10353,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 2:15 AM,17/Jul/24 2:19 AM,20/Jul/24 9:39 AM,17/Jul/24 2:19 AM,,0,BOOKING,PAYMENT,,BA12.FE - Patient - Payment should be skipped if the treatment is free,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 2:16 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA12.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10271,17/Jul/24 2:16 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA12.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10273,17/Jul/24 2:16 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA12.3.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10272,,,,,,,The screen skips the Payment section and goes straight to Success page,,,,,,{},,N3NJS1804-107,Appointment Management,,,The screen should skip the Payment section and go straight to Success page,,,,,0|i0021j:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click (+) on Header
3. Choose branch 1, treatment General Checkup (Free), Dr Bao Ha, Slot 17/07/2004 7:00 AM
4. When summary, click submit button",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_205170,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 2:19 AM
BA11.FE - Patient - General checkup is automatically chosen if Patient performs first booking,N3NJS1804-201,10352,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 2:10 AM,17/Jul/24 2:19 AM,20/Jul/24 9:39 AM,17/Jul/24 2:15 AM,,0,BOOKING,PAYMENT,,BA11.FE - Patient - General checkup is automatically chosen if Patient performs first booking,,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 2:11 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA11.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10270,17/Jul/24 2:11 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA11.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10266,17/Jul/24 2:11 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA11.3.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10269,17/Jul/24 2:11 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA11.4.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10268,17/Jul/24 2:11 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA11.5.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10267,,,,,"- On enter booking, the screen toasts 2 notifications
- The progress skips the choosing Treatment",,,,,,{},,N3NJS1804-107,Appointment Management,,,"- On enter booking, the screen should toast 2 notifications:
1. This is your first time booking!
2. You are determined to choose the General Checkup treatment
- The progress should skip the choosing Treatment",,,,,0|i0021b:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Register as Patient, login with that account
2. Click (+) on the Header
3. Fill out information till submit",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_306243,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 2:15 AM
BA10.FE - Patient - Payment VNPay successfully,N3NJS1804-200,10351,TESTCASE,Done,N3NJS1804,N3_NJS1804_SWP,software,Huynh Thong Duong (K18 HCM),712020:7506b707-7088-4543-9bae-b108c474df7e,,Medium,Done,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,Ha Minh Quoc Bao,712020:9515692f-6512-43af-b7ba-49d6a8222389,17/Jul/24 2:07 AM,17/Jul/24 2:12 AM,20/Jul/24 9:39 AM,17/Jul/24 2:10 AM,,0,BOOKING,PAYMENT,,"BA10.FE - Patient - Payment VNPay successfully

-PAYMENT INFORMATION-
Ngân hàng: NCB
Số thẻ: 9704198526191432198
Tên chủ thẻ: NGUYEN VAN A
Ngày phát hành: 07/15
Mật khẩu OTP: 123456",,Ha Minh Quoc Bao,,712020:9515692f-6512-43af-b7ba-49d6a8222389,,,,,,,,,,,,N3NJS1804-109,17/Jul/24 2:09 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA10.1.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10263,17/Jul/24 2:09 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA10.2.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10261,17/Jul/24 2:09 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA10.3.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10265,17/Jul/24 2:09 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA10.4.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10264,17/Jul/24 2:09 AM;712020:9515692f-6512-43af-b7ba-49d6a8222389;BA10.5.png;https://huynh-thong-duong-se183537.atlassian.net/rest/api/3/attachment/content/10262,,,,,The screen returns to React app with Success page,,,,,,{},,N3NJS1804-107,Appointment Management,,,The screen should return to React app with Success page,,,,,0|i00213:,,,,,N3NJS180 Sprint 3,,,,,,,,Unit,"1. Login as Patient
2. Click on (+) on Header
3. Chose Branch 1, Treatment General Checkup, Dentist An Ha, Slot 7
4. Click Submit button
5. Fill out the Payment information (in Description according to VN Pay test account)",Pass,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_211588,,,,,,,,,,,,,,,,,,,10258,Appointment Management,Done,17/Jul/24 2:10 AM
